Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2024-05-06 04:00:00,182.354,184.2,180.42,181.71,78319667.0,181.71,898763,181.8711,False,AAPL
2024-05-07 04:00:00,183.45,184.9,181.32,182.4,77298571.0,182.4,747518,182.7741,False,AAPL
2024-05-08 04:00:00,182.85,183.07,181.45,182.74,45057087.0,182.74,518609,182.4822,False,AAPL
2024-05-09 04:00:00,182.56,184.66,182.11,184.57,48948972.0,184.57,551004,184.005,False,AAPL
2024-05-10 04:00:00,184.9,185.09,182.13,183.05,50745096.0,183.05,558778,183.097,False,AAPL
2024-05-13 04:00:00,185.435,187.1,184.62,186.28,71969409.0,186.28,726518,186.2045,False,AAPL
2024-05-14 04:00:00,187.51,188.3,186.29,187.43,52393619.0,187.43,559493,187.1924,False,AAPL
2024-05-15 04:00:00,187.91,190.65,187.37,189.72,70381988.0,189.72,727614,189.6538,False,AAPL
2024-05-16 04:00:00,190.47,191.095,189.6601,189.84,52845230.0,189.84,566951,190.1061,False,AAPL
2024-05-17 04:00:00,189.51,190.81,189.18,189.87,41282925.0,189.87,478193,189.9231,False,AAPL
2024-05-20 04:00:00,189.325,191.9199,189.01,191.04,44361275.0,191.04,566908,191.0826,False,AAPL
2024-05-21 04:00:00,191.09,192.73,190.9201,192.35,42309401.0,192.35,502788,192.2542,False,AAPL
2024-05-22 04:00:00,192.265,192.8231,190.27,190.9,34648547.0,190.9,452377,191.4301,False,AAPL
2024-05-23 04:00:00,190.98,191.0,186.625,186.88,51005924.0,186.88,574010,188.1932,False,AAPL
2024-05-24 04:00:00,188.82,190.58,188.0404,189.98,36326975.0,189.98,492870,189.7193,False,AAPL
2024-05-28 04:00:00,191.51,193.0,189.1,189.99,52230051.0,189.99,702190,190.8158,False,AAPL
2024-05-29 04:00:00,189.61,192.247,189.51,190.29,53068016.0,190.29,603502,191.1133,False,AAPL
2024-05-30 04:00:00,190.76,192.18,190.63,191.29,49947941.0,191.29,568984,191.4032,False,AAPL
2024-05-31 04:00:00,191.44,192.57,189.91,192.25,75158277.0,192.25,618230,191.6187,False,AAPL
2024-06-03 04:00:00,192.9,194.99,192.52,194.03,50078439.0,194.03,700956,193.7892,False,AAPL
2024-06-04 04:00:00,194.635,195.32,193.0342,194.35,47471445.0,194.35,575318,194.3014,False,AAPL
2024-06-05 04:00:00,195.4,196.9,194.87,195.87,54156785.0,195.87,648283,195.8699,False,AAPL
2024-06-06 04:00:00,195.685,196.5,194.17,194.48,41162753.0,194.48,550122,195.3147,False,AAPL
2024-06-07 04:00:00,194.65,196.94,194.14,196.89,53085712.0,196.89,505958,195.9035,False,AAPL
2024-06-10 04:00:00,196.9,197.3,192.15,193.12,97262077.0,193.12,1115274,194.4151,False,AAPL
2024-06-12 04:00:00,207.37,220.2,206.9,213.07,198109293.0,213.07,1861009,215.2622,False,AAPL
