Date,Open,High,Low,Close,Volume,Adj Close,Ticker
2025-04-23 13:30:00+00:00,206.0,207.6199951171875,204.63009643554688,207.3800048828125,11470100,207.3800048828125,AAPL
2025-04-23 14:00:00+00:00,207.32339477539062,208.0,205.6300048828125,206.80499267578125,3684870,206.80499267578125,AAPL
2025-04-23 14:30:00+00:00,206.80999755859375,207.9499969482422,206.66000366210938,206.89999389648438,2872941,206.89999389648438,AAPL
2025-04-23 15:00:00+00:00,206.92999267578125,207.57000732421875,204.05999755859375,204.6300048828125,4578758,204.6300048828125,AAPL
2025-04-23 15:30:00+00:00,204.625,205.41000366210938,203.6501007080078,204.27000427246094,3767837,204.27000427246094,AAPL
2025-04-23 16:00:00+00:00,204.27000427246094,204.36000061035156,202.7989959716797,204.11000061035156,2021638,204.11000061035156,AAPL
2025-04-23 16:30:00+00:00,204.13999938964844,204.9550018310547,203.51840209960938,204.75999450683594,1554133,204.75999450683594,AAPL
2025-04-23 17:00:00+00:00,204.75,205.44000244140625,203.8300018310547,204.9499969482422,1596225,204.9499969482422,AAPL
2025-04-23 17:30:00+00:00,205.0,205.64999389648438,204.22000122070312,205.41000366210938,1425580,205.41000366210938,AAPL
2025-04-23 18:00:00+00:00,205.38499450683594,205.5,204.25,204.48240661621094,1630663,204.48240661621094,AAPL
2025-04-23 18:30:00+00:00,204.47000122070312,205.10000610351562,204.24000549316406,204.74000549316406,1410920,204.74000549316406,AAPL
2025-04-23 19:00:00+00:00,204.72000122070312,205.1699981689453,203.6566925048828,204.00999450683594,2176234,204.00999450683594,AAPL
2025-04-23 19:30:00+00:00,204.03089904785156,205.75,203.61000061035156,204.36000061035156,5424069,204.36000061035156,AAPL
2025-04-24 13:30:00+00:00,204.88499450683594,205.63999938964844,202.94000244140625,205.58999633789062,5601510,205.58999633789062,AAPL
2025-04-24 14:00:00+00:00,205.57000732421875,206.35000610351562,205.36000061035156,206.32000732421875,2836152,206.32000732421875,AAPL
2025-04-24 14:30:00+00:00,206.2899932861328,206.66000366210938,205.2200927734375,205.9550018310547,2415818,205.9550018310547,AAPL
2025-04-24 15:00:00+00:00,205.9600067138672,206.47999572753906,205.49000549316406,205.9250030517578,1847000,205.9250030517578,AAPL
2025-04-24 15:30:00+00:00,205.88499450683594,206.71499633789062,205.58009338378906,206.08999633789062,1932696,206.08999633789062,AAPL
2025-04-24 16:00:00+00:00,206.11000061035156,206.75,205.64999389648438,206.2899932861328,2529503,206.2899932861328,AAPL
2025-04-24 16:30:00+00:00,206.2899932861328,206.7100067138672,205.82000732421875,206.5399932861328,1110918,206.5399932861328,AAPL
2025-04-24 17:00:00+00:00,206.5399932861328,207.02999877929688,206.08999633789062,206.90499877929688,1430832,206.90499877929688,AAPL
2025-04-24 17:30:00+00:00,206.9199981689453,207.47999572753906,206.5500030517578,207.4499969482422,1313707,207.4499969482422,AAPL
2025-04-24 18:00:00+00:00,207.44000244140625,207.7899932861328,207.0574951171875,207.28900146484375,1373582,207.28900146484375,AAPL
2025-04-24 18:30:00+00:00,207.3000030517578,208.10000610351562,207.2899932861328,207.86000061035156,2028000,207.86000061035156,AAPL
2025-04-24 19:00:00+00:00,207.85000610351562,207.89500427246094,207.02999877929688,207.09010314941406,1809311,207.09010314941406,AAPL
