Model,RMSE,MAE,MAPE,Best Parameters
ARIMA,5.6162121721201,5.101869037138881,2.4152470114619238,"Order: (0, 1, 3)"
Prophet,4.3402946342235875,4.322854222890056,2.0586976938932735,changepoint_prior_scale: 0.05
