Model,RMSE,MAE,MAPE,Best Parameters
ARIMA,210.1147205183507,210.10050252357516,99.97470268155942,"Order: (0, 0, 3)"
Prophet,4.469188371206942,3.8737546252847244,1.8516644853203996,changepoint_prior_scale: 0.05
