Model,RMSE,MAE,MAPE,Best Parameters
ARIMA,210.1147205183507,210.10050252357516,99.97470268155942,"Order: (0, 0, 3)"
Prophet,4.841590662004366,4.416525297816825,2.1101327116323167,changepoint_prior_scale: 0.5
LSTM,8.95358219494315,5.610927697662122,2.6182989052380012,LSTM (50 units)
