Model,RMSE,MAE,MAPE,Best Parameters
ARIMA,5.59446618360252,5.082701740108145,2.406167382528117,"Order: (0, 1, 3)"
Prophet,4.192780530150377,4.154479909514014,1.979574682770033,changepoint_prior_scale: 0.05
