Date,Forecast,Lower_CI,Upper_CI
2016-01-01,-89.0860342311414,-140.88023411471193,-37.29183434757088
2016-02-01,-87.03829112140417,-158.08617690606297,-15.990405336745354
2016-03-01,-85.03150534133903,-170.5844069245113,0.5213962418332443
2016-04-01,-83.06485769500001,-180.53710616805066,14.407390778050626
2016-05-01,-81.13754537134719,-188.82220225994075,26.547111517246364
2016-06-01,-79.24878161652879,-195.90279441505805,37.40523118200048
2016-07-01,-77.3977954127181,-202.05991980090815,47.264328975471955
2016-08-01,-75.58383116337399,-207.48000540785654,56.312343081108565
2016-09-01,-73.80614838479664,-212.29461751368004,64.68232074408675
2016-10-01,-72.0640214038525,-216.6009438262911,72.47290101858609
